2025-08-30 21:05:38 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_login_info

2025-08-30 21:05:38 | ERROR    | src.core.bot:get_login_info:97 - 无法获取登录信息: 没有可用的WebSocket连接

2025-08-30 21:05:50 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:05:50 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:05:55 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: send_group_msg

2025-08-30 21:05:55 | ERROR    | src.core.bot:send_group_msg:77 - 无法发送群消息: 没有可用的WebSocket连接

2025-08-30 21:06:00 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:06:00 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:06:05 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: send_group_msg

2025-08-30 21:06:05 | ERROR    | src.core.bot:send_group_msg:77 - 无法发送群消息: 没有可用的WebSocket连接

2025-08-30 21:06:10 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:06:10 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:06:15 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:06:15 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:06:20 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:06:20 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:06:25 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:06:25 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:06:30 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:06:30 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:06:35 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:06:35 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:06:59 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:06:59 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:07:04 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: send_group_msg

2025-08-30 21:07:04 | ERROR    | src.core.bot:send_group_msg:77 - 无法发送群消息: 没有可用的WebSocket连接

2025-08-30 21:07:09 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:07:09 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:07:14 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:07:14 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:07:19 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:07:19 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:07:24 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:07:24 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:07:43 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:07:43 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:07:51 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:07:51 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:07:56 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:07:56 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:08:28 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:08:28 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:08:33 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:08:33 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:08:38 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:08:38 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:09:26 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:09:26 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:09:43 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:09:43 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:09:48 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:09:48 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:09:59 | ERROR    | src.core.bot:send_websocket_message:177 - [OneBot] API请求超时: get_group_info

2025-08-30 21:09:59 | ERROR    | src.core.bot:get_group_info:123 - 无法获取群信息: 没有可用的WebSocket连接

2025-08-30 21:15:13 | ERROR    | src.core.bot:_make_request:77 - [OneBot] API请求异常: get_login_info, 错误: Cannot connect to host 127.0.0.1:8029 ssl:default [远程计算机拒绝网络连接。]

2025-08-30 21:15:30 | ERROR    | src.core.bot:_make_request:77 - [OneBot] API请求异常: get_group_info, 错误: Cannot connect to host 127.0.0.1:8029 ssl:default [远程计算机拒绝网络连接。]

2025-08-30 21:15:46 | ERROR    | src.core.bot:_make_request:77 - [OneBot] API请求异常: get_group_info, 错误: Cannot connect to host 127.0.0.1:8029 ssl:default [远程计算机拒绝网络连接。]

